year,state,month,number,date
1998,AP,Abril,0,1998-01-01
1999,AP,Abril,0,1999-01-01
2000,AP,Abril,0,2000-01-01
2001,AP,Abril,0,2001-01-01
2002,AP,Abril,0,2002-01-01
2003,AP,Abril,2,2003-01-01
2004,AP,Abril,0,2004-01-01
2005,AP,Abril,0,2005-01-01
2006,AP,Abril,0,2006-01-01
2007,AP,Abril,0,2007-01-01
2008,AP,Abril,2,2008-01-01
2009,AP,Abril,0,2009-01-01
2010,AP,Abril,2,2010-01-01
2011,AP,Abril,0,2011-01-01
2012,AP,Abril,2,2012-01-01
2013,AP,Abril,2,2013-01-01
2014,AP,Abril,0,2014-01-01
2015,AP,Abril,0,2015-01-01
2016,AP,Abril,0,2016-01-01
2017,AP,Abril,3,2017-01-01
1998,AP,Maio,0,1998-01-01
1999,AP,Maio,0,1999-01-01
2000,AP,Maio,0,2000-01-01
2001,AP,Maio,0,2001-01-01
2002,AP,Maio,3,2002-01-01
2003,AP,Maio,0,2003-01-01
2004,AP,Maio,0,2004-01-01
2005,AP,Maio,0,2005-01-01
2006,AP,Maio,0,2006-01-01
2007,AP,Maio,0,2007-01-01
2008,AP,Maio,0,2008-01-01
2009,AP,Maio,2,2009-01-01
2010,AP,Maio,2,2010-01-01
2011,AP,Maio,2,2011-01-01
2012,AP,Maio,2,2012-01-01
2013,AP,Maio,0,2013-01-01
2014,AP,Maio,0,2014-01-01
2015,AP,Maio,0,2015-01-01
2016,AP,Maio,1,2016-01-01
2017,AP,Maio,1,2017-01-01
1998,AP,Junho,0,1998-01-01
1999,AP,Junho,2,1999-01-01
2000,AP,Junho,0,2000-01-01
2001,AP,Junho,0,2001-01-01
2002,AP,Junho,0,2002-01-01
2003,AP,Junho,0,2003-01-01
2004,AP,Junho,5,2004-01-01
2005,AP,Junho,2,2005-01-01
2006,AP,Junho,0,2006-01-01
2007,AP,Junho,0,2007-01-01
2008,AP,Junho,0,2008-01-01
2009,AP,Junho,1,2009-01-01
2010,AP,Junho,0,2010-01-01
2011,AP,Junho,0,2011-01-01
2012,AP,Junho,7,2012-01-01
2013,AP,Junho,1,2013-01-01
2014,AP,Junho,0,2014-01-01
2015,AP,Junho,3,2015-01-01
2016,AP,Junho,2,2016-01-01
2017,AP,Junho,2,2017-01-01
1998,AP,Julho,0,1998-01-01
1999,AP,Julho,0,1999-01-01
2000,AP,Julho,0,2000-01-01
2001,AP,Julho,1,2001-01-01
2002,AP,Julho,1,2002-01-01
2003,AP,Julho,0,2003-01-01
2004,AP,Julho,2,2004-01-01
2005,AP,Julho,0,2005-01-01
2006,AP,Julho,0,2006-01-01
2007,AP,Julho,0,2007-01-01
2008,AP,Julho,0,2008-01-01
2009,AP,Julho,4,2009-01-01
2010,AP,Julho,2,2010-01-01
2011,AP,Julho,5,2011-01-01
2012,AP,Julho,3,2012-01-01
2013,AP,Julho,1,2013-01-01
2014,AP,Julho,4,2014-01-01
2015,AP,Julho,5,2015-01-01
2016,AP,Julho,1,2016-01-01
2017,AP,Julho,3,2017-01-01
1998,AP,Agosto,1,1998-01-01
1999,AP,Agosto,0,1999-01-01
2000,AP,Agosto,3,2000-01-01
2001,AP,Agosto,12,2001-01-01
2002,AP,Agosto,18,2002-01-01
2003,AP,Agosto,14,2003-01-01
2004,AP,Agosto,9,2004-01-01
2005,AP,Agosto,4,2005-01-01
2006,AP,Agosto,11,2006-01-01
2007,AP,Agosto,5,2007-01-01
2008,AP,Agosto,4,2008-01-01
2009,AP,Agosto,20,2009-01-01
2010,AP,Agosto,1,2010-01-01
2011,AP,Agosto,16,2011-01-01
2012,AP,Agosto,19,2012-01-01
2013,AP,Agosto,9,2013-01-01
2014,AP,Agosto,18,2014-01-01
2015,AP,Agosto,40,2015-01-01
2016,AP,Agosto,37,2016-01-01
2017,AP,Agosto,33,2017-01-01
1998,AP,Setembro,20,1998-01-01
1999,AP,Setembro,4,1999-01-01
2000,AP,Setembro,19,2000-01-01
2001,AP,Setembro,95,2001-01-01
2002,AP,Setembro,73,2002-01-01
2003,AP,Setembro,88,2003-01-01
2004,AP,Setembro,67,2004-01-01
2005,AP,Setembro,97,2005-01-01
2006,AP,Setembro,112,2006-01-01
2007,AP,Setembro,61,2007-01-01
2008,AP,Setembro,83,2008-01-01
2009,AP,Setembro,188,2009-01-01
2010,AP,Setembro,63,2010-01-01
2011,AP,Setembro,128,2011-01-01
2012,AP,Setembro,168,2012-01-01
2013,AP,Setembro,85,2013-01-01
2014,AP,Setembro,137,2014-01-01
2015,AP,Setembro,192,2015-01-01
2016,AP,Setembro,142,2016-01-01
2017,AP,Setembro,95,2017-01-01
1998,AP,Outubro,42,1998-01-01
1999,AP,Outubro,25,1999-01-01
2000,AP,Outubro,42,2000-01-01
2001,AP,Outubro,194,2001-01-01
2002,AP,Outubro,557,2002-01-01
2003,AP,Outubro,355,2003-01-01
2004,AP,Outubro,412,2004-01-01
2005,AP,Outubro,335,2005-01-01
2006,AP,Outubro,405,2006-01-01
2007,AP,Outubro,162,2007-01-01
2008,AP,Outubro,395,2008-01-01
2009,AP,Outubro,765,2009-01-01
2010,AP,Outubro,265,2010-01-01
2011,AP,Outubro,304,2011-01-01
2012,AP,Outubro,475,2012-01-01
2013,AP,Outubro,385,2013-01-01
2014,AP,Outubro,480,2014-01-01
2015,AP,Outubro,827,2015-01-01
2016,AP,Outubro,793,2016-01-01
2017,AP,Outubro,468,2017-01-01
1998,AP,Novembro,131,1998-01-01
1999,AP,Novembro,26,1999-01-01
2000,AP,Novembro,157,2000-01-01
2001,AP,Novembro,406,2001-01-01
2002,AP,Novembro,1096,2002-01-01
2003,AP,Novembro,750,2003-01-01
2004,AP,Novembro,949,2004-01-01
2005,AP,Novembro,685,2005-01-01
2006,AP,Novembro,207,2006-01-01
2007,AP,Novembro,198,2007-01-01
2008,AP,Novembro,266,2008-01-01
2009,AP,Novembro,1019,2009-01-01
2010,AP,Novembro,339,2010-01-01
2011,AP,Novembro,282,2011-01-01
2012,AP,Novembro,969,2012-01-01
